AccountingPeriod,PolicyNumber,yoa,focus_area,TrifocusCode,TrifocusName,Entity,SignedValue,SignedLinePercent,SettlementCCY,OrgininalValue,OriginalCCY,MC_OriginalValue,MC_OrgininalCCY,mop,tot,Multiyear,statscode,Inception,Expiry,AccountKey
202301,T9813K17APCC,2017,Cat                      ,TRI00004,Cat,623,15743.7000,14.0000,USD,112455,USD,,,T  ,2017-04-30 00:00:00,N,SC ,2017-04-01 00:00:00,2018-03-31 00:00:00,GPE-RP-P
202301,T9830X16APCC,2016,Cat                      ,TRI00004,Cat,623,200.3863,2.0000,USD,196473,EGP,,,T  ,2016-04-30 00:00:00,N,SC ,2016-04-01 00:00:00,2017-03-31 00:00:00,GPE-RP-P
202301,T9804N18ANMD,2018,Treaty Misc              ,TRI00033,Treaty Misc,623,4686.9900,2.7500,USD,170436,USD,,,T  ,2018-05-01 00:00:00,N,00 ,2018-03-01 00:00:00,2019-03-31 00:00:00,GPE-RP-P
202301,T9757Q20APCZ,2020,Cat                      ,TRI00004,Cat,623,12288.2247,2.4999,USD,491529,USD,,,T  ,2020-01-31 00:00:00,N,SC ,2020-01-01 00:00:00,2020-12-31 00:00:00,GPE-RP-P
202301,T9757Q22APCZ,2022,Cat                      ,TRI00004,Cat,623,47495.0000,3.2200,USD,1475000,USD,,,T  ,2022-01-31 00:00:00,N,SC ,2022-01-01 00:00:00,2022-12-31 00:00:00,GPE-RP-P
202301,T9758C22APCZ,2022,Cat                      ,TRI00004,Cat,623,6139.6300,3.5000,USD,175418,USD,,,T  ,2022-01-31 00:00:00,N,SC ,2022-01-01 00:00:00,2022-12-31 00:00:00,GPE-RP-P
202301,T9781C17APCC,2017,Cat                      ,TRI00004,Cat,623,8935.9323,1.5000,GBP,6478933,NOK,,,T  ,2017-02-15 00:00:00,N,SC ,2017-01-01 00:00:00,2017-12-31 00:00:00,GPE-RP-P
202301,T9783Z12APCR,2012,Ex Cat                   ,TRI00012,Ex Cat,623,13661.0600,2.0000,USD,683053,USD,,,T  ,2012-01-31 00:00:00,N,SC ,2012-01-01 00:00:00,2012-12-31 00:00:00,GPE-RP-P
202301,T9783Z13IPCR,2013,Ex Cat                   ,TRI00012,Ex Cat,623,89504.4446,3.0160,USD,2967654,USD,,,T  ,2013-11-30 00:00:00,N,SC ,2013-11-01 00:00:00,2014-12-31 00:00:00,GPE-RP-P
202301,T9784G12APCR,2012,Ex Cat                   ,TRI00012,Ex Cat,623,33458.5600,2.0000,USD,1672928,USD,,,T  ,2012-01-31 00:00:00,N,SC ,2012-01-01 00:00:00,2012-12-31 00:00:00,GPE-RP-P
